Aging,Temperature,SOC,Frequency,Z_real,Z_imag
0,22.5,4,7904.959,2.2866842,-0.7111514600000001
0,22.5,4,6248.7827,2.2890631,-0.56473562
0,22.5,4,4941.5811,2.2550593,-0.37716297
0,22.5,4,3906.2498,2.3006259,-0.22448781
0,22.5,4,3087.0369,2.3323845,-0.09712175199999999
0,22.5,4,2440.7808,2.3720774,0.016640725999999998
0,22.5,4,1930.6177,2.4191488000000003,0.10407148000000001
0,22.5,4,1525.4882,2.4686321,0.17503081
0,22.5,4,1206.9312,2.5241426,0.24169059
0,22.5,4,954.08411,2.5823284,0.30230341
0,22.5,4,754.27557,2.6432076,0.35932541
0,22.5,4,596.71857,2.703836,0.41041669
0,22.5,4,471.35751,2.7792726,0.46145808
0,22.5,4,372.7338,2.8555759,0.51232189
0,22.5,4,294.71707,2.9416753,0.5572222299999999
0,22.5,4,232.98701,3.0309514,0.60686818
0,22.5,4,184.11626,3.1305291,0.65316184
0,22.5,4,145.60574,3.2405828,0.6972853999999999
0,22.5,4,115.18433,3.3556383999999997,0.73258718
0,22.5,4,91.078392,3.4760463,0.77277515
0,22.5,4,71.957245,3.6029052,0.79582818
0,22.5,4,56.912251,3.7336447,0.82319591
0,22.5,4,44.956841,3.8589928000000002,0.8371908299999999
0,22.5,4,35.557541,3.9891861,0.85291249
0,22.5,4,28.102516,4.1112383,0.86930662
0,22.5,4,22.226173,4.2270282,0.89094293
0,22.5,4,17.556183,4.3360102,0.91731775
0,22.5,4,13.884776,4.448466499999999,0.9764511499999999
0,22.5,4,10.988047,4.566465,1.0387537
0,22.5,4,8.6805573,4.712516,1.1240899999999998
0,22.5,4,6.8651142,4.8632422,1.2220511
0,22.5,4,5.4253473,5.0649634,1.3420884000000002
0,22.5,4,4.292582,5.3284965,1.4383572
0,22.5,4,3.3908424,5.5565047000000005,1.5242584000000001
0,22.5,4,2.6847081,5.879066,1.5613566
0,22.5,4,2.1229622,6.1591188,1.5957233
0,22.5,4,1.6765022,6.4558736,1.5439899000000001
0,22.5,4,1.3259507,6.7444029,1.4951759
0,22.5,4,1.047814,6.9749183,1.4373666
0,22.5,4,0.82777089,7.1622799,1.3564872000000001
0,22.5,4,0.65497148,7.3288279,1.2901481
0,22.5,4,0.5175212,7.474156099999999,1.2318816
0,22.5,4,0.40911707,7.5995848,1.2103916000000001
0,22.5,4,0.3236866,7.7145662999999995,1.2093702
0,22.5,4,0.25591263,7.846669299999999,1.2381878
0,22.5,4,0.20234396,7.9946853,1.3170774
0,22.5,4,0.16011845,8.1347302,1.4557113000000002
0,22.5,4,0.12650184,8.2477769,1.6370174999999998
0,25.0,0,10002.229,2.8378714,-0.9930054700000001
0,25.0,0,7904.959,2.7462799999999996,-0.62177476
0,25.0,0,6248.7827,2.8207421,-0.42205569000000004
0,25.0,0,4941.5811,2.8067792000000003,-0.22571070999999998
0,25.0,0,3906.2498,2.890165,-0.08185881599999999
0,25.0,0,3087.0369,2.9464653000000003,0.040181174
0,25.0,0,2440.7808,3.0064051999999997,0.15338726
0,25.0,0,1930.6177,3.0770956,0.22478744
0,25.0,0,1525.4882,3.1502616999999997,0.28560805
0,25.0,0,1206.9312,3.2169027,0.3371191
0,25.0,0,954.08411,3.2972295000000003,0.38358604
0,25.0,0,754.27557,3.3743223,0.41633321
0,25.0,0,596.71857,3.4567292,0.45141511
0,25.0,0,471.35751,3.5387578,0.48056559
0,25.0,0,372.7338,3.6256323,0.5010872799999999
0,25.0,0,294.71707,3.7142157,0.51470735
0,25.0,0,232.98701,3.8044634,0.53055875
0,25.0,0,184.11626,3.8963116,0.5363443099999999
0,25.0,0,145.60574,3.9893821999999997,0.5416185
0,25.0,0,115.18433,4.0827892,0.53936284
0,25.0,0,91.078392,4.1777906,0.52181678
0,25.0,0,71.957245,4.272547100000001,0.49734715
0,25.0,0,56.912251,4.3564262000000005,0.47214422
